name,SDx,SDy,SDz,SR,PFD_t,PFD_i,PFD_m,PFD_r,PFD_p,FA_ti,FA_im,FA_mr,FA_rp,FA_pt,FD_ti,FD_tm,FD_tr,FD_tp,FD_im,FD_ir,FD_ip,FD_mr,FD_mp,FD_rp
A0,0,0,0,33.483856,61.37995911,53.21684265,56.40392685,53.43012619,44.78738022,0.085551307,0.031092539,0.044439934,0.049086303,0.195918128,39.1305809,46.36806488,51.0112381,56.90402603,9.176234245,18.44831467,31.24397278,11.34841919,26.6734066,16.26328468
A1,0,0,0,33.50679,61.69601822,53.2153244,56.50469589,53.46884537,44.79497528,0.086025037,0.031171052,0.044555169,0.049237914,0.196161091,38.69044113,45.54101944,50.50247574,56.72613907,9.036010742,18.44128799,31.24827385,11.41685963,26.74730492,16.26682281
A2,0,0,0,33.50679,61.69601822,53.2153244,56.50469589,53.46884537,44.79497528,0.086025037,0.031171052,0.044555169,0.049237914,0.196161091,38.69044113,45.54101944,50.50247574,56.72613907,9.036010742,18.44128799,31.24827385,11.41685963,26.74730492,16.26682281
A3,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A4,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A5,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A6,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A7,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A8,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A9,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A10,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A11,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A12,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A13,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A14,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A15,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A16,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A17,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A18,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A19,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A20,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A21,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A22,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A23,0,0,0,33.50849,61.92037201,53.2148819,56.50305176,53.46571732,44.82241058,0.086932518,0.031260811,0.044379517,0.048798777,0.196709275,38.50434113,45.33668137,50.38727188,56.68595123,9.02839756,18.44114494,31.24591827,11.41672897,26.74497604,16.25867271
A24,0,0,0,33.49365,62.00460434,53.2143898,56.51173782,53.35177994,44.83623886,0.087786473,0.031237917,0.044618022,0.048112117,0.197231308,38.40711975,45.23091888,50.44740677,56.6267395,9.031617165,18.44486427,31.24951744,11.4225235,26.75446129,16.21073914
A25,0,0,0,33.49365,62.00460434,53.2143898,56.51173782,53.35177994,44.83623886,0.087786473,0.031237917,0.044618022,0.048112117,0.197231308,38.40711975,45.23091888,50.44740677,56.6267395,9.031617165,18.44486427,31.24951744,11.4225235,26.75446129,16.21073914
A26,0,0,0,33.49365,62.00460434,53.2143898,56.51173782,53.35177994,44.83623886,0.087786473,0.031237917,0.044618022,0.048112117,0.197231308,38.40711975,45.23091888,50.44740677,56.6267395,9.031617165,18.44486427,31.24951744,11.4225235,26.75446129,16.21073914
A27,0,0,0,33.49365,62.00460434,53.2143898,56.51173782,53.35177994,44.83623886,0.087786473,0.031237917,0.044618022,0.048112117,0.197231308,38.40711975,45.23091888,50.44740677,56.6267395,9.031617165,18.44486427,31.24951744,11.4225235,26.75446129,16.21073914
A28,0,0,0,33.49365,62.00460434,53.2143898,56.51173782,53.35177994,44.83623886,0.087786473,0.031237917,0.044618022,0.048112117,0.197231308,38.40711975,45.23091888,50.44740677,56.6267395,9.031617165,18.44486427,31.24951744,11.4225235,26.75446129,16.21073914
A29,0,0,0,33.49365,62.00460434,53.2143898,56.51173782,53.35177994,44.83623886,0.087786473,0.031237917,0.044618022,0.048112117,0.197231308,38.40711975,45.23091888,50.44740677,56.6267395,9.031617165,18.44486427,31.24951744,11.4225235,26.75446129,16.21073914
A30,0,0,0,33.49365,62.00460434,53.2143898,56.51173782,53.35177994,44.83623886,0.087786473,0.031237917,0.044618022,0.048112117,0.197231308,38.40711975,45.23091888,50.44740677,56.6267395,9.031617165,18.44486427,31.24951744,11.4225235,26.75446129,16.21073914
