name,SDx,SDy,SDz,SR,PFD_t,PFD_i,PFD_m,PFD_r,PFD_p,FA_ti,FA_im,FA_mr,FA_rp,FA_pt,FD_ti,FD_tm,FD_tr,FD_tp,FD_im,FD_ir,FD_ip,FD_mr,FD_mp,FD_rp
A0,0,0,0,33.550236,59.28361893,54.50377655,44.50009537,41.29204178,37.40349197,0.072475053,0.107208215,0.05010704,0.058953207,0.265686959,33.58955383,52.44162369,60.18705368,66.77358246,23.55645943,32.85397339,43.29998398,10.95982361,25.19133949,15.08905029
A1,0,0,0,33.566975,59.3468895,54.50363159,44.56843567,41.32428741,37.40621567,0.072715834,0.105870813,0.050421417,0.059019938,0.265813589,33.65743637,52.27566147,60.10956955,66.82892609,23.26837921,32.67453766,43.26290894,11.02200127,25.26850128,15.09231663
A2,0,0,0,33.566975,59.3468895,54.50363159,44.56843567,41.32428741,37.40621567,0.072715834,0.105870813,0.050421417,0.059019938,0.265813589,33.65743637,52.27566147,60.10956955,66.82892609,23.26837921,32.67453766,43.26290894,11.02200127,25.26850128,15.09231663
A3,0,0,0,33.566975,59.3468895,54.50363159,44.56843567,41.32428741,37.40621567,0.072715834,0.105870813,0.050421417,0.059019938,0.265813589,33.65743637,52.27566147,60.10956955,66.82892609,23.26837921,32.67453766,43.26290894,11.02200127,25.26850128,15.09231663
A4,0,0,0,33.566975,59.3468895,54.50363159,44.56843567,41.32428741,37.40621567,0.072715834,0.105870813,0.050421417,0.059019938,0.265813589,33.65743637,52.27566147,60.10956955,66.82892609,23.26837921,32.67453766,43.26290894,11.02200127,25.26850128,15.09231663
A5,0,0,0,33.566975,59.3468895,54.50363159,44.56843567,41.32428741,37.40621567,0.072715834,0.105870813,0.050421417,0.059019938,0.265813589,33.65743637,52.27566147,60.10956955,66.82892609,23.26837921,32.67453766,43.26290894,11.02200127,25.26850128,15.09231663
A6,0,0,0,33.566975,59.3468895,54.50363159,44.56843567,41.32428741,37.40621567,0.072715834,0.105870813,0.050421417,0.059019938,0.265813589,33.65743637,52.27566147,60.10956955,66.82892609,23.26837921,32.67453766,43.26290894,11.02200127,25.26850128,15.09231663
A7,0,0,0,33.566975,59.3468895,54.50363159,44.56843567,41.32428741,37.40621567,0.072715834,0.105870813,0.050421417,0.059019938,0.265813589,33.65743637,52.27566147,60.10956955,66.82892609,23.26837921,32.67453766,43.26290894,11.02200127,25.26850128,15.09231663
A8,0,0,0,33.590927,59.43896484,54.50349808,44.64218903,41.33091354,37.40852737,0.072976261,0.104490653,0.051155224,0.059076499,0.266102493,33.79306412,52.16635513,60.21994781,66.96513367,22.97486305,32.63825607,43.23827362,11.17167187,25.35565567,15.09019375
A9,0,0,0,33.590927,59.43896484,54.50349808,44.64218903,41.33091354,37.40852737,0.072976261,0.104490653,0.051155224,0.059076499,0.266102493,33.79306412,52.16635513,60.21994781,66.96513367,22.97486305,32.63825607,43.23827362,11.17167187,25.35565567,15.09019375
