name,SDx,SDy,SDz,SR,PFD_t,PFD_i,PFD_m,PFD_r,PFD_p,FA_ti,FA_im,FA_mr,FA_rp,FA_pt,FD_ti,FD_tm,FD_tr,FD_tp,FD_im,FD_ir,FD_ip,FD_mr,FD_mp,FD_rp
A,0,0,0,48.020576,81.40639496,40.32333374,32.71260834,32.10676956,33.07962418,0.262218714,0.109525062,0.115535282,0.106987402,0.546896338,77.99384308,87.32203674,99.19245911,108.3095932,14.00580692,28.49931335,41.18815231,14.58960915,27.22873878,13.53173256
A,0,0,0,47.9756,81.37353516,40.3045311,32.76447296,32.17523575,33.1394043,0.262239158,0.10914433,0.115770295,0.106761657,0.547050238,78.10993958,87.37731171,99.24287415,108.320816,13.92864037,28.42852211,41.07599258,14.59440041,27.1939621,13.48530865
A,0,0,0,47.9756,81.37353516,40.3045311,32.76447296,32.17523575,33.1394043,0.262239158,0.10914433,0.115770295,0.106761657,0.547050238,78.10993958,87.37731171,99.24287415,108.320816,13.92864037,28.42852211,41.07599258,14.59440041,27.1939621,13.48530865
A,0,0,0,47.91054,81.30044556,40.28565598,32.77834702,32.19968033,33.1747551,0.262219846,0.108918652,0.115788877,0.106710181,0.546872497,78.07541656,87.3243103,99.19018555,108.2647934,13.8948307,28.39103699,41.02600861,14.59026146,27.17791557,13.4704504
A,0,0,0,47.788246,81.15794373,40.26775742,32.80008316,32.22787094,33.209198,0.262340307,0.1086381,0.115807444,0.106642447,0.546669543,77.9618454,87.19441986,99.0632019,108.130661,13.85587883,28.35011864,40.97244263,14.587533,27.16313171,13.45558453
A,0,0,0,47.788246,81.15794373,40.26775742,32.80008316,32.22787094,33.209198,0.262340307,0.1086381,0.115807444,0.106642447,0.546669543,77.9618454,87.19441986,99.0632019,108.130661,13.85587883,28.35011864,40.97244263,14.587533,27.16313171,13.45558453
A,0,0,0,47.670998,81.01860046,40.25193787,32.8192482,32.25074387,33.23685455,0.262307912,0.108357921,0.115787841,0.106625646,0.546251357,77.8479538,87.06325531,98.93074036,107.9944916,13.81898022,28.30717087,40.92160797,14.58088493,27.14915276,13.4462738
A,0,0,0,47.568626,80.75240326,40.1669693,32.75871277,32.23378754,33.36798096,0.262950063,0.108052708,0.116342686,0.107283942,0.547376275,77.69276428,86.85754395,98.78710938,107.9399033,13.77425957,28.32889366,41.0143013,14.64951801,27.28783035,13.52172279
A,0,0,0,47.50385,80.72705078,40.15425491,32.77328491,32.23620605,33.37802124,0.262816578,0.107763261,0.116078973,0.107351832,0.546702385,77.61778259,86.78862762,98.69858551,107.8740692,13.74671936,28.26933479,40.95843506,14.61711502,27.25878143,13.5222559
A,0,0,0,47.50385,80.72705078,40.15425491,32.77328491,32.23620605,33.37802124,0.262816578,0.107763261,0.116078973,0.107351832,0.546702385,77.61778259,86.78862762,98.69858551,107.8740692,13.74671936,28.26933479,40.95843506,14.61711502,27.25878143,13.5222559
A,0,0,0,47.47798,80.77741241,40.15619659,32.79701614,32.24816513,33.39374161,0.262885392,0.107533589,0.115774944,0.107373528,0.546310127,77.58211517,86.77156067,98.664711,107.8667679,13.72731972,28.21372414,40.90106583,14.58038998,27.22041512,13.51653671
A,0,0,0,47.48444,80.88122559,40.15502167,32.81599426,32.25912094,33.41875458,0.262786746,0.107307322,0.115460284,0.107420787,0.54584223,77.57556152,86.79499054,98.67643738,107.916481,13.71358967,28.16464996,40.85347748,14.54486465,27.1859684,13.51410294
A,0,0,0,47.50719,81.01802063,40.14736176,32.82974625,32.26303101,33.44857025,0.26259163,0.107042648,0.115117267,0.107536361,0.545258224,77.55356598,86.81903076,98.6947937,107.9911041,13.70295811,28.11909103,40.81700516,14.50940514,27.15969658,13.51977444
A,0,0,0,47.50719,81.01802063,40.14736176,32.82974625,32.26303101,33.44857025,0.26259163,0.107042648,0.115117267,0.107536361,0.545258224,77.55356598,86.81903076,98.6947937,107.9911041,13.70295811,28.11909103,40.81700516,14.50940514,27.15969658,13.51977444
A,0,0,0,47.612938,81.28530121,40.13716507,32.83348465,32.260746,33.47599792,0.262434542,0.106859498,0.114710234,0.107647374,0.544889212,77.61314392,86.95155334,98.8237381,108.1880188,13.71037579,28.0868721,40.79813385,14.47007656,27.13196373,13.52875805
A,0,0,0,47.701015,81.53533173,40.12343597,32.83553696,32.25921249,33.51511383,0.262260556,0.106679961,0.114437036,0.107787639,0.544753253,77.6494751,87.05888367,98.93963623,108.3780899,13.71393871,28.06352615,40.78926849,14.44334984,27.11832809,13.53867626
A,0,0,0,47.701015,81.53533173,40.12343597,32.83553696,32.25921249,33.51511383,0.262260556,0.106679961,0.114437036,0.107787639,0.544753253,77.6494751,87.05888367,98.93963623,108.3780899,13.71393871,28.06352615,40.78926849,14.44334984,27.11832809,13.53867626
