name,SDx,SDy,SDz,SR,PFD_t,PFD_i,PFD_m,PFD_r,PFD_p,FA_ti,FA_im,FA_mr,FA_rp,FA_pt,FD_ti,FD_tm,FD_tr,FD_tp,FD_im,FD_ir,FD_ip,FD_mr,FD_mp,FD_rp
A,0,0,0,36.474487,62.1613121,41.63286972,40.62351227,38.32725143,34.05849838,0.357307047,0.122369103,0.135696456,0.10317719,0.646484554,68.90072632,76.09812927,82.78836823,84.68005371,9.649793625,20.76934242,31.06712914,11.45111752,22.76948357,12.58252048
A,0,0,0,36.524467,62.20118332,41.63124084,40.668293,38.36265945,34.05198288,0.358516604,0.122288503,0.135458767,0.102789298,0.646956861,69.05443573,76.25331879,82.90651703,84.7429657,9.631640434,20.72311592,30.99757195,11.43206882,22.7405262,12.57679939
A,0,0,0,36.88997,62.54512787,41.51000977,40.53670883,38.2361908,33.83018875,0.359220564,0.124529921,0.136319801,0.103414766,0.648792326,70.23807526,77.44051361,83.93241882,85.5488739,9.693142891,20.72189522,30.87499237,11.37094879,22.5844574,12.48222828
A,0,0,0,36.866932,62.5332756,41.52760315,40.55209732,38.25095749,33.83273697,0.359460235,0.124455035,0.135934174,0.103356436,0.648841441,70.22858429,77.42211151,83.89690399,85.51763153,9.683080673,20.68358612,30.84685707,11.34147263,22.5647831,12.48937893
A,0,0,0,36.83379,62.51315689,41.54090118,40.56211853,38.26262283,33.83771515,0.359518677,0.124317154,0.13556686,0.103398025,0.648758411,70.17768097,77.36565399,83.82987976,85.46598816,9.672813416,20.64648819,30.82357025,11.31281757,22.54933739,12.49890423
A,0,0,0,36.797794,62.48514557,41.54735565,40.56980515,38.27283478,33.8427887,0.359629631,0.124110289,0.135233924,0.103478841,0.648606777,70.10298157,77.28864288,83.74704742,85.39992523,9.661387444,20.61198044,30.80189514,11.28860569,22.53855705,12.50930119
A,0,0,0,36.750824,62.43977737,41.54794693,40.57364273,38.28125763,33.85076523,0.359793365,0.123909339,0.134898394,0.103595912,0.648546159,69.98177338,77.16963196,83.62656403,85.30492401,9.651597023,20.57816315,30.78262901,11.2636528,22.52862549,12.52046013
A,0,0,0,36.51352,62.32382965,41.55205154,40.60037231,38.33174896,33.91937637,0.36116147,0.122853525,0.13359715,0.10459175,0.64985764,69.23340607,76.46431732,82.96372223,84.8398056,9.599715233,20.41735077,30.70539474,11.15098953,22.5007,12.58296108
A,0,0,0,36.484146,62.29518509,41.55183029,40.60792542,38.33863449,33.92853165,0.361213267,0.122647122,0.133497328,0.104552917,0.649676085,69.13139343,76.36641693,82.87437439,84.76545715,9.593542099,20.40979004,30.70342255,11.15077305,22.50666046,12.58790112
A,0,0,0,36.462566,62.27332306,41.55310822,40.61485672,38.34488297,33.93599319,0.361594558,0.122605212,0.133569852,0.104582615,0.650043309,69.04909515,76.28688812,82.80438232,84.7059021,9.58902359,20.40802383,30.704916,11.15441513,22.51373482,12.59106827
A,0,0,0,36.441628,62.24765015,41.55354309,40.61893845,38.34647369,33.941185,0.361740947,0.122540377,0.13359715,0.104607165,0.650106668,68.97240448,76.21174622,82.73568726,84.64652252,9.586289406,20.4080658,30.7093029,11.15813637,22.52143478,12.59430599
A,0,0,0,36.424915,62.21846771,41.55830383,40.62414932,38.3489151,33.9446373,0.362104416,0.122571096,0.133695573,0.104581475,0.650424778,68.90948486,76.14811707,82.67817688,84.59121704,9.585189819,20.41412544,30.71623421,11.16575146,22.52947235,12.59494877
A,0,0,0,36.414436,62.18638229,41.5647316,40.6273613,38.34812546,33.94334793,0.362383455,0.122618861,0.133826524,0.104527786,0.650614977,68.86882782,76.1027298,82.63711548,84.54502106,9.584798813,20.42546844,30.72690392,11.17749977,22.5396843,12.59449482
