name,SDx,SDy,SDz,SR,PFD_t,PFD_i,PFD_m,PFD_r,PFD_p,FA_ti,FA_im,FA_mr,FA_rp,FA_pt,FD_ti,FD_tm,FD_tr,FD_tp,FD_im,FD_ir,FD_ip,FD_mr,FD_mp,FD_rp
B0,0,0,0,70.50202,90.46298981,78.67990112,46.69243622,98.72401428,91.68914795,0.081293717,0.078441329,0.042144082,0.107326798,0.18491599,62.64601898,95.10930634,25.40306854,33.52373505,90.68758392,48.14435196,36.25056076,106.7217407,102.8650284,13.04894447
B1,0,0,0,70.50202,90.46298981,78.67990112,46.69243622,98.72401428,91.68914795,0.081293717,0.078441329,0.042144082,0.107326798,0.18491599,62.64601898,95.10930634,25.40306854,33.52373505,90.68758392,48.14435196,36.25056076,106.7217407,102.8650284,13.04894447
B2,0,0,0,70.53251,90.46126556,78.67985535,46.69760895,98.72432709,91.68734741,0.080809295,0.078368276,0.042183679,0.107444137,0.185495049,62.64860153,94.96824646,25.36764145,33.5015831,90.60903168,48.18024063,36.25881958,106.5915375,102.7316284,13.06038761
B3,0,0,0,70.53251,90.46126556,78.67985535,46.69760895,98.72432709,91.68734741,0.080809295,0.078368276,0.042183679,0.107444137,0.185495049,62.64860153,94.96824646,25.36764145,33.5015831,90.60903168,48.18024063,36.25881958,106.5915375,102.7316284,13.06038761
B4,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B5,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B6,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B7,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B8,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B9,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B10,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B11,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B12,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B13,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B14,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B15,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B16,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B17,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B18,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B19,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B20,0,0,0,70.534615,90.46117401,78.6798172,46.69636154,98.72431946,91.68719482,0.080781236,0.078369796,0.042183679,0.107453033,0.185520574,62.64871597,94.96218109,25.3655262,33.4984169,90.60390472,48.18099594,36.25944901,106.5832901,102.7230835,13.05966377
B21,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B22,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B23,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B24,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B25,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B26,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B27,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B28,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B29,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B30,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B31,0,0,0,70.58851,90.45887756,78.68121338,46.6329422,98.72460938,91.68682098,0.080445185,0.078360662,0.042209111,0.107542478,0.185731143,62.64478683,94.87728882,25.32070351,33.45053101,90.49118042,48.1914444,36.26493454,106.4402924,102.5810394,13.06204414
B32,0,0,0,70.616974,90.45730591,78.67951202,46.59500122,98.72521973,91.68062592,0.080480784,0.078307346,0.042268395,0.107720025,0.185406148,62.63777924,94.81408691,25.29184532,33.41509628,90.41758728,48.20151901,36.28582382,106.3527527,102.5019073,13.06562805
B33,0,0,0,70.616974,90.45730591,78.67951202,46.59500122,98.72521973,91.68062592,0.080480784,0.078307346,0.042268395,0.107720025,0.185406148,62.63777924,94.81408691,25.29184532,33.41509628,90.41758728,48.20151901,36.28582382,106.3527527,102.5019073,13.06562805
B34,0,0,0,70.61826,90.4572525,78.67930603,46.59258652,98.72532654,91.67897797,0.080480039,0.078297436,0.042269807,0.107749961,0.185383201,62.63782501,94.80882263,25.28911591,33.40859604,90.41230774,48.20376587,36.29214859,106.3464203,102.4961472,13.06406498
B35,0,0,0,70.61826,90.4572525,78.67930603,46.59258652,98.72532654,91.67897797,0.080480039,0.078297436,0.042269807,0.107749961,0.185383201,62.63782501,94.80882263,25.28911591,33.40859604,90.41230774,48.20376587,36.29214859,106.3464203,102.4961472,13.06406498
