name,SDx,SDy,SDz,SR,PFD_t,PFD_i,PFD_m,PFD_r,PFD_p,FA_ti,FA_im,FA_mr,FA_rp,FA_pt,FD_ti,FD_tm,FD_tr,FD_tp,FD_im,FD_ir,FD_ip,FD_mr,FD_mp,FD_rp
B,0,0,0,45.224316,96.63146973,103.4380417,96.31610107,79.04869843,46.54742432,0.709143579,0.140659526,0.161826015,0.270612627,0.53828907,19.43615532,33.19171143,54.08703613,78.2900238,17.96682549,44.45239639,79.07192993,27.68065643,70.24773407,53.55383682
B,0,0,0,45.457638,96.84820557,103.4497223,96.47445679,78.86034393,46.16565704,0.709555745,0.140307486,0.162703365,0.275020957,0.536332846,19.2306366,33.10970688,54.22871017,77.94239807,17.92977142,44.62450409,78.81110382,27.98744583,70.29441071,53.21876526
B,0,0,0,46.089264,97.02764893,103.5270691,96.43058014,78.44644165,45.69960403,0.707649589,0.140102327,0.159004897,0.283331662,0.525589287,19.05710983,32.49991608,54.33945084,77.4154129,17.48605347,44.89539337,78.38883209,28.60595322,69.74842834,51.98164368
B,0,0,0,49.056805,97.21645355,103.493927,96.4821167,78.12732697,45.23656082,0.70308125,0.141248837,0.159802109,0.286058456,0.515878499,19.24451256,32.97092056,54.7120018,77.01985168,17.59718323,44.99502182,77.87471771,28.72333145,69.27339935,50.98333359
B,0,0,0,46.440716,97.1198349,103.4758072,96.40288544,78.11736298,45.55669022,0.704342425,0.140889347,0.159471005,0.28302896,0.518727958,19.16094971,32.78903198,54.44179535,77.23442078,17.58010864,44.87382507,78.11627197,28.59510612,69.50262451,51.32613373
B,0,0,0,45.590725,96.97912598,103.434761,96.3547821,78.28203583,45.83423233,0.706387222,0.14112176,0.159612834,0.279478818,0.524360418,19.16702652,32.72847366,54.21427155,77.46559906,17.57953453,44.69049835,78.35645294,28.37508011,69.7671051,51.99694061
B,0,0,0,46.46016,96.96838379,103.3695984,96.38105774,78.31581879,46.19494247,0.706642747,0.144032478,0.162452593,0.277133465,0.527733326,19.57282829,33.72385406,54.93938828,77.96077728,18.05236435,44.97037125,78.69710541,28.30546761,70.09024048,52.47511673
B,0,0,0,46.46016,96.96838379,103.3695984,96.38105774,78.31581879,46.19494247,0.706642747,0.144032478,0.162452593,0.277133465,0.527733326,19.57282829,33.72385406,54.93938828,77.96077728,18.05236435,44.97037125,78.69710541,28.30546761,70.09024048,52.47511673
B,0,0,0,45.72642,96.85865021,103.3560562,96.34650421,78.45970917,46.27842331,0.707924783,0.143661171,0.162021592,0.275597811,0.531118035,19.52992249,33.57634735,54.74689484,78.09139252,18.00998688,44.85528183,78.87339783,28.18565178,70.23983765,52.81646729
B,0,0,0,46.99783,97.06871796,103.4138947,96.42865753,78.28517914,45.97602844,0.705056071,0.143727764,0.162506014,0.27891624,0.52574265,19.5450325,33.78641891,55.10012054,77.83757782,18.10332489,45.10544586,78.61019135,28.41569901,69.9988327,52.15812683
B,0,0,0,45.45254,96.98310089,103.406311,96.36778259,78.30994415,46.07209015,0.707106948,0.143432423,0.162065923,0.277485311,0.528525114,19.47065735,33.56158447,54.82540512,77.9621048,18.02622032,44.96353912,78.78701019,28.30757713,70.155159,52.43044662
B,0,0,0,46.210884,97.18890381,103.4844284,96.48300171,78.11370087,45.7675972,0.704812288,0.143893301,0.162835404,0.280156463,0.522997677,19.50344086,33.79032516,55.07032394,77.72244263,18.12571526,45.13454819,78.5637207,28.47884178,69.97447205,51.80848312
B,0,0,0,45.240814,97.08909607,103.4821091,96.42799377,78.18423462,45.86928177,0.706175983,0.143314794,0.161872238,0.278508931,0.526142597,19.4233284,33.4817276,54.7518158,77.81984711,17.98707199,44.96159363,78.72277069,28.3763237,70.13996887,52.17060471
B,0,0,0,45.218483,97.20062256,103.6068878,96.50273132,77.93386841,45.51972961,0.706487775,0.142106995,0.161167294,0.283324629,0.520484746,19.04327774,32.93718338,54.52978516,77.44881439,17.84058952,45.15166473,78.62576294,28.71902466,70.02224731,51.52352524
B,0,0,0,46.074802,97.39260864,103.6401749,96.60559845,77.69372559,45.10590363,0.701645374,0.143318549,0.161466032,0.285591692,0.511814952,19.24732399,33.32303238,54.76753998,77.04286957,17.89426613,45.16934204,78.16883087,28.80508995,69.62729645,50.6573143
B,0,0,0,46.283417,97.52193451,103.7389832,96.65922546,77.35748291,44.67618561,0.69993943,0.142751962,0.160755217,0.291102588,0.502067626,19.04968262,32.98087311,54.68079376,76.5686264,17.74873543,45.34458542,77.84762573,29.15513802,69.26420593,49.65150452
B,0,0,0,45.291866,97.40096283,103.7288055,96.56907654,77.5854187,45.06237793,0.700974703,0.141842455,0.158752859,0.287619144,0.509321094,19.01877022,32.60591507,54.41437531,76.83534241,17.53083801,45.13791275,78.11091614,29.02128792,69.56298828,50.44801331
B,0,0,0,45.52391,97.50363159,103.8508148,96.64237976,77.45494843,44.82852173,0.700754583,0.140772149,0.158311486,0.290448755,0.505329967,18.70646095,32.20886993,54.2803154,76.65924835,17.47094917,45.33341599,78.16442108,29.28803825,69.60250092,50.09027481
B,0,0,0,45.52391,97.50363159,103.8508148,96.64237976,77.45494843,44.82852173,0.700754583,0.140772149,0.158311486,0.290448755,0.505329967,18.70646095,32.20886993,54.2803154,76.65924835,17.47094917,45.33341599,78.16442108,29.28803825,69.60250092,50.09027481
B,0,0,0,47.11903,97.40664673,103.8395538,96.57314301,77.77733612,45.19374847,0.702064455,0.140178278,0.156999454,0.28744027,0.513010025,18.75658607,32.04768372,54.24002075,77.01275635,17.35697365,45.2265358,78.45701599,29.16333771,69.89571381,50.92668915
B,0,0,0,49.170734,97.29804993,103.8292313,96.53562164,78.08686829,45.48724365,0.703398883,0.140005827,0.156261995,0.282886773,0.520667255,18.86116982,32.04209137,54.07339859,77.39990997,17.32411385,44.98459625,78.78881073,28.86527443,70.20996094,51.85200119
B,0,0,0,51.323334,97.21086121,103.8154068,96.5045166,78.38049316,45.74204254,0.705158532,0.139919952,0.156124443,0.279009759,0.527706683,18.97660255,32.14860153,54.00783157,77.81075287,17.3668766,44.81739807,79.1155777,28.59277916,70.48545074,52.68325806
